AEROPUERTO_DE_PROCEDENCIA,Mes_Año,Pasajeros,Isla,Mes,Año,MesNum,Fecha
aerop. Interinsulares,enero 2019,31306.0,Fuerteventura,enero,2019,1,2019-01-01
aerop. peninsulares,enero 2019,21906.0,Fuerteventura,enero,2019,1,2019-01-01
Total aerop. españoles,enero 2019,53212.0,Fuerteventura,enero,2019,1,2019-01-01
Aerop. Peninsulares + aerop. Extranjeros,enero 2019,177242.0,Fuerteventura,enero,2019,1,2019-01-01
Holanda,enero 2019,5209.0,Fuerteventura,enero,2019,1,2019-01-01
Bélgica,enero 2019,1592.0,Fuerteventura,enero,2019,1,2019-01-01
Alemania,enero 2019,55190.0,Fuerteventura,enero,2019,1,2019-01-01
Francia,enero 2019,6916.0,Fuerteventura,enero,2019,1,2019-01-01
Reino Unido,enero 2019,48755.0,Fuerteventura,enero,2019,1,2019-01-01
Irlanda,enero 2019,3329.0,Fuerteventura,enero,2019,1,2019-01-01
Italia,enero 2019,6841.0,Fuerteventura,enero,2019,1,2019-01-01
Países Nórdicos,enero 2019,13366.0,Fuerteventura,enero,2019,1,2019-01-01
Suecia,enero 2019,5671.0,Fuerteventura,enero,2019,1,2019-01-01
Noruega,enero 2019,415.0,Fuerteventura,enero,2019,1,2019-01-01
Dinamarca,enero 2019,4980.0,Fuerteventura,enero,2019,1,2019-01-01
Finlandia,enero 2019,2300.0,Fuerteventura,enero,2019,1,2019-01-01
Suiza,enero 2019,3913.0,Fuerteventura,enero,2019,1,2019-01-01
Austria,enero 2019,2364.0,Fuerteventura,enero,2019,1,2019-01-01
Federación Rusa,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Republica Checa,enero 2019,883.0,Fuerteventura,enero,2019,1,2019-01-01
Polonia,enero 2019,5388.0,Fuerteventura,enero,2019,1,2019-01-01
Portugal,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Marruecos,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Luxemburgo,enero 2019,433.0,Fuerteventura,enero,2019,1,2019-01-01
Islandia,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Hungría,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Venezuela,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Rumanía,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Estonia,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Letonia,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Lituania,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Ucrania,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Israel,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
USA,enero 2019,0.0,Fuerteventura,enero,2019,1,2019-01-01
Otros países,enero 2019,1157.0,Fuerteventura,enero,2019,1,2019-01-01
Total aerop. Extranjeros,enero 2019,155336.0,Fuerteventura,enero,2019,1,2019-01-01
TOTAL PASAJEROS,enero 2019,208548.0,Fuerteventura,enero,2019,1,2019-01-01
aerop. Interinsulares,febrero 2019,33419.0,Fuerteventura,febrero,2019,2,2019-02-01
aerop. peninsulares,febrero 2019,20457.0,Fuerteventura,febrero,2019,2,2019-02-01
Total aerop. españoles,febrero 2019,53876.0,Fuerteventura,febrero,2019,2,2019-02-01
Aerop. Peninsulares + aerop. Extranjeros,febrero 2019,182269.0,Fuerteventura,febrero,2019,2,2019-02-01
Holanda,febrero 2019,5880.0,Fuerteventura,febrero,2019,2,2019-02-01
Bélgica,febrero 2019,1568.0,Fuerteventura,febrero,2019,2,2019-02-01
Alemania,febrero 2019,49241.0,Fuerteventura,febrero,2019,2,2019-02-01
Francia,febrero 2019,8446.0,Fuerteventura,febrero,2019,2,2019-02-01
Reino Unido,febrero 2019,56326.0,Fuerteventura,febrero,2019,2,2019-02-01
Irlanda,febrero 2019,3746.0,Fuerteventura,febrero,2019,2,2019-02-01
Italia,febrero 2019,6415.0,Fuerteventura,febrero,2019,2,2019-02-01
Países Nórdicos,febrero 2019,13572.0,Fuerteventura,febrero,2019,2,2019-02-01
Suecia,febrero 2019,5537.0,Fuerteventura,febrero,2019,2,2019-02-01
Noruega,febrero 2019,680.0,Fuerteventura,febrero,2019,2,2019-02-01
Dinamarca,febrero 2019,4999.0,Fuerteventura,febrero,2019,2,2019-02-01
Finlandia,febrero 2019,2356.0,Fuerteventura,febrero,2019,2,2019-02-01
Suiza,febrero 2019,4924.0,Fuerteventura,febrero,2019,2,2019-02-01
Austria,febrero 2019,3384.0,Fuerteventura,febrero,2019,2,2019-02-01
Federación Rusa,febrero 2019,0.0,Fuerteventura,febrero,2019,2,2019-02-01
Republica Checa,febrero 2019,795.0,Fuerteventura,febrero,2019,2,2019-02-01
Polonia,febrero 2019,5211.0,Fuerteventura,febrero,2019,2,2019-02-01
Portugal,febrero 2019,0.0,Fuerteventura,febrero,2019,2,2019-02-01
Marruecos,febrero 2019,0.0,Fuerteventura,febrero,2019,2,2019-02-01
Luxemburgo,febrero 2019,621.0,Fuerteventura,febrero,2019,2,2019-02-01
