generated_at_utc,forecast_origin,target_date,horizon_months,model,model_version,prediction
2026-07-24T17:01:29+00:00,2026-06-01,2026-07-01,1,LSTM,daa7d706602c4930,2164532.455018878
2026-07-24T17:01:29+00:00,2026-06-01,2026-08-01,2,LSTM,daa7d706602c4930,2157590.835973388
2026-07-24T17:01:29+00:00,2026-06-01,2026-09-01,3,LSTM,daa7d706602c4930,2156910.7072253395
2026-07-24T17:01:29+00:00,2026-06-01,2026-10-01,4,LSTM,daa7d706602c4930,2164103.98093245
2026-07-24T17:01:29+00:00,2026-06-01,2026-11-01,5,LSTM,daa7d706602c4930,2176214.231353233
2026-07-24T17:01:29+00:00,2026-06-01,2026-12-01,6,LSTM,daa7d706602c4930,2190630.200461884
2026-07-24T17:01:29+00:00,2026-06-01,2027-01-01,7,LSTM,daa7d706602c4930,2203472.894048057
2026-07-24T17:01:29+00:00,2026-06-01,2027-02-01,8,LSTM,daa7d706602c4930,2197693.266642104
2026-07-24T17:01:29+00:00,2026-06-01,2027-03-01,9,LSTM,daa7d706602c4930,2195863.212455043
2026-07-24T17:01:29+00:00,2026-06-01,2027-04-01,10,LSTM,daa7d706602c4930,2188649.318768269
2026-07-24T17:01:29+00:00,2026-06-01,2027-05-01,11,LSTM,daa7d706602c4930,2175458.3582710708
2026-07-24T17:01:29+00:00,2026-06-01,2027-06-01,12,LSTM,daa7d706602c4930,2160953.917466109
2026-07-24T17:01:29+00:00,2026-06-01,2027-07-01,13,LSTM,daa7d706602c4930,2148855.030761573
2026-07-24T17:01:29+00:00,2026-06-01,2027-08-01,14,LSTM,daa7d706602c4930,2141893.70083372
2026-07-24T17:01:29+00:00,2026-06-01,2027-09-01,15,LSTM,daa7d706602c4930,2141562.458835764
2026-07-24T17:01:29+00:00,2026-06-01,2027-10-01,16,LSTM,daa7d706602c4930,2147470.640864427
2026-07-24T17:01:29+00:00,2026-06-01,2027-11-01,17,LSTM,daa7d706602c4930,2157987.7809125558
2026-07-24T17:01:29+00:00,2026-06-01,2027-12-01,18,LSTM,daa7d706602c4930,2170590.472811587
2026-07-24T17:01:29+00:00,2026-06-01,2026-07-01,1,XGB,8c6b44c36847b324,2207667.75
2026-07-24T17:01:29+00:00,2026-06-01,2026-08-01,2,XGB,8c6b44c36847b324,2197369.25
2026-07-24T17:01:29+00:00,2026-06-01,2026-09-01,3,XGB,8c6b44c36847b324,2175961.5
2026-07-24T17:01:29+00:00,2026-06-01,2026-10-01,4,XGB,8c6b44c36847b324,2239888.25
2026-07-24T17:01:29+00:00,2026-06-01,2026-11-01,5,XGB,8c6b44c36847b324,2248842.5
2026-07-24T17:01:29+00:00,2026-06-01,2026-12-01,6,XGB,8c6b44c36847b324,2243669.75
2026-07-24T17:01:29+00:00,2026-06-01,2027-01-01,7,XGB,8c6b44c36847b324,2206029.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-02-01,8,XGB,8c6b44c36847b324,2231838.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-03-01,9,XGB,8c6b44c36847b324,2259289.5
2026-07-24T17:01:29+00:00,2026-06-01,2027-04-01,10,XGB,8c6b44c36847b324,2196594.75
2026-07-24T17:01:29+00:00,2026-06-01,2027-05-01,11,XGB,8c6b44c36847b324,2147318.25
2026-07-24T17:01:29+00:00,2026-06-01,2027-06-01,12,XGB,8c6b44c36847b324,2136795.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-07-01,13,XGB,8c6b44c36847b324,2217738.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-08-01,14,XGB,8c6b44c36847b324,2219902.5
2026-07-24T17:01:29+00:00,2026-06-01,2027-09-01,15,XGB,8c6b44c36847b324,2215114.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-10-01,16,XGB,8c6b44c36847b324,2240808.25
2026-07-24T17:01:29+00:00,2026-06-01,2027-11-01,17,XGB,8c6b44c36847b324,2228142.0
2026-07-24T17:01:29+00:00,2026-06-01,2027-12-01,18,XGB,8c6b44c36847b324,2233428.25
