Isla,Fecha,Pasajeros,Phase
Total Canarias,2022-01-01,1242342.0,History
Total Canarias,2022-02-01,1520775.0,History
Total Canarias,2022-03-01,1777180.0,History
Total Canarias,2022-04-01,1831428.0,History
Total Canarias,2022-05-01,1611236.0,History
Total Canarias,2022-06-01,1690460.0,History
Total Canarias,2022-07-01,1955986.0,History
Total Canarias,2022-08-01,1940286.0,History
Total Canarias,2022-09-01,1713248.0,History
Total Canarias,2022-10-01,2015580.0,History
Total Canarias,2022-11-01,1945604.0,History
Total Canarias,2022-12-01,2110045.0,History
Total Canarias,2023-01-01,1899097.0,History
Total Canarias,2023-02-01,1907273.0,History
Total Canarias,2023-03-01,2074654.0,History
Total Canarias,2023-04-01,1950607.0,History
Total Canarias,2023-05-01,1772338.0,History
Total Canarias,2023-06-01,1785800.0,History
Total Canarias,2023-07-01,2047699.0,History
Total Canarias,2023-08-01,1994198.0,History
Total Canarias,2023-09-01,1861996.0,History
Total Canarias,2023-10-01,2137051.0,History
Total Canarias,2023-11-01,2099619.0,History
Total Canarias,2023-12-01,2272734.0,History
Total Canarias,2024-01-01,2063542.0,History
Total Canarias,2024-02-01,2174856.0,History
Total Canarias,2024-03-01,2416481.0,History
Total Canarias,2024-04-01,2009663.0,History
Total Canarias,2024-05-01,1924628.0,History
Total Canarias,2024-06-01,1989492.0,History
Total Canarias,2024-07-01,2182178.0,History
Total Canarias,2024-08-01,2179842.0,History
Total Canarias,2024-09-01,2009806.0,History
Total Canarias,2024-10-01,2285857.0,History
Total Canarias,2024-11-01,2333838.0,History
Total Canarias,2024-12-01,2439631.0,History
Total Canarias,2025-01-01,2200971.0,History
Total Canarias,2025-02-01,2231870.0,History
Total Canarias,2025-03-01,2439527.0,History
Total Canarias,2025-04-01,2229428.0,History
Total Canarias,2025-05-01,2016749.0,History
Total Canarias,2025-06-01,2081654.0,History
Total Canarias,2025-07-01,2320307.0,History
Total Canarias,2025-08-01,2295039.0,History
Total Canarias,2025-09-01,2078523.0,History
Total Canarias,2025-10-01,2331020.0,History
Total Canarias,2025-11-01,2330261.0,History
Total Canarias,2025-12-01,2420017.0,History
Total Canarias,2026-01-01,2219589.0,History
Total Canarias,2026-02-01,2261863.0,History
Total Canarias,2026-03-01,2439075.0,History
Total Canarias,2026-04-01,2125309.0,History
Total Canarias,2026-05-01,2022869.0,History
Total Canarias,2026-06-01,2057592.0,History
Total Canarias,2026-07-01,2098175.144331754,Forecast
Total Canarias,2026-08-01,2150370.257615005,Forecast
Total Canarias,2026-09-01,2225760.9925633185,Forecast
Total Canarias,2026-10-01,2305066.5425530155,Forecast
Total Canarias,2026-11-01,2346390.660109208,Forecast
Total Canarias,2026-12-01,2359652.48442486,Forecast
Total Canarias,2027-01-01,2352619.9438713696,Forecast
Total Canarias,2027-02-01,2320123.301943338,Forecast
Total Canarias,2027-03-01,2269538.124055003,Forecast
Total Canarias,2027-04-01,2178136.9440945317,Forecast
Total Canarias,2027-05-01,2112072.5057290695,Forecast
Total Canarias,2027-06-01,2091309.134399079,Forecast
