Isla,Fecha,Mes,Año,MesNum,Pasajeros
Fuerteventura,2019-01-01,enero,2019,1,208548
Fuerteventura,2019-02-01,febrero,2019,2,215688
Fuerteventura,2019-03-01,marzo,2019,3,250148
Fuerteventura,2019-04-01,abril,2019,4,239006
Fuerteventura,2019-05-01,mayo,2019,5,204212
Fuerteventura,2019-06-01,junio,2019,6,227570
Fuerteventura,2019-07-01,julio,2019,7,255590
Fuerteventura,2019-08-01,agosto,2019,8,257070
Fuerteventura,2019-09-01,septiembre,2019,9,225448
Fuerteventura,2019-10-01,octubre,2019,10,244407
Fuerteventura,2019-11-01,noviembre,2019,11,225716
Fuerteventura,2019-12-01,diciembre,2019,12,231012
Fuerteventura,2020-01-01,enero,2020,1,200041
Fuerteventura,2020-02-01,febrero,2020,2,231762
Fuerteventura,2020-03-01,marzo,2020,3,99651
Fuerteventura,2020-04-01,abril,2020,4,1305
Fuerteventura,2020-05-01,mayo,2020,5,2993
Fuerteventura,2020-06-01,junio,2020,6,15735
Fuerteventura,2020-07-01,julio,2020,7,60163
Fuerteventura,2020-08-01,agosto,2020,8,127168
Fuerteventura,2020-09-01,septiembre,2020,9,61682
Fuerteventura,2020-10-01,octubre,2020,10,63589
Fuerteventura,2020-11-01,noviembre,2020,11,59217
Fuerteventura,2020-12-01,diciembre,2020,12,72426
Fuerteventura,2021-01-01,enero,2021,1,37417
Fuerteventura,2021-02-01,febrero,2021,2,35316
Fuerteventura,2021-03-01,marzo,2021,3,52455
Fuerteventura,2021-04-01,abril,2021,4,50298
Fuerteventura,2021-05-01,mayo,2021,5,78773
Fuerteventura,2021-06-01,junio,2021,6,102153
Fuerteventura,2021-07-01,julio,2021,7,165948
Fuerteventura,2021-08-01,agosto,2021,8,196429
Fuerteventura,2021-09-01,septiembre,2021,9,177716
Fuerteventura,2021-10-01,octubre,2021,10,239139
Fuerteventura,2021-11-01,noviembre,2021,11,213627
Fuerteventura,2021-12-01,diciembre,2021,12,201495
Fuerteventura,2022-01-01,enero,2022,1,144667
Fuerteventura,2022-02-01,febrero,2022,2,191259
Fuerteventura,2022-03-01,marzo,2022,3,231484
Fuerteventura,2022-04-01,abril,2022,4,242014
Fuerteventura,2022-05-01,mayo,2022,5,205181
Fuerteventura,2022-06-01,junio,2022,6,226353
Fuerteventura,2022-07-01,julio,2022,7,268632
Fuerteventura,2022-08-01,agosto,2022,8,271926
Fuerteventura,2022-09-01,septiembre,2022,9,235633
Fuerteventura,2022-10-01,octubre,2022,10,266571
Fuerteventura,2022-11-01,noviembre,2022,11,237040
Fuerteventura,2022-12-01,diciembre,2022,12,257811
Fuerteventura,2023-01-01,enero,2023,1,221473
Fuerteventura,2023-02-01,febrero,2023,2,233547
Fuerteventura,2023-03-01,marzo,2023,3,260152
Fuerteventura,2023-04-01,abril,2023,4,246164
Fuerteventura,2023-05-01,mayo,2023,5,220887
Fuerteventura,2023-06-01,junio,2023,6,222616
Fuerteventura,2023-07-01,julio,2023,7,264123
Fuerteventura,2023-08-01,agosto,2023,8,259329
Fuerteventura,2023-09-01,septiembre,2023,9,242281
Fuerteventura,2023-10-01,octubre,2023,10,266892
Fuerteventura,2023-11-01,noviembre,2023,11,256722
Fuerteventura,2023-12-01,diciembre,2023,12,266080
Fuerteventura,2024-01-01,enero,2024,1,241083
Fuerteventura,2024-02-01,febrero,2024,2,261243
Fuerteventura,2024-03-01,marzo,2024,3,295415
Fuerteventura,2024-04-01,abril,2024,4,242172
Fuerteventura,2024-05-01,mayo,2024,5,232565
Fuerteventura,2024-06-01,junio,2024,6,245430
Fuerteventura,2024-07-01,julio,2024,7,278676
Fuerteventura,2024-08-01,agosto,2024,8,279505
Fuerteventura,2024-09-01,septiembre,2024,9,253941
Fuerteventura,2024-10-01,octubre,2024,10,283317
Fuerteventura,2024-11-01,noviembre,2024,11,285657
Fuerteventura,2024-12-01,diciembre,2024,12,289709
Fuerteventura,2025-01-01,enero,2025,1,261868
Fuerteventura,2025-02-01,febrero,2025,2,278970
Fuerteventura,2025-03-01,marzo,2025,3,311092
