Isla,Fecha,Mes,Año,MesNum,Pasajeros,month_sin,month_cos,year_norm,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,roll3,roll6
Fuerteventura,2020-01-01,enero,2020,1,200041,0.49999999999999994,0.8660254037844387,1,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,204212.0,239006.0,250148.0,215688.0,208548.0,233711.66666666666,239873.83333333334
Fuerteventura,2020-02-01,febrero,2020,2,231762,0.8660254037844386,0.5000000000000001,1,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,204212.0,239006.0,250148.0,215688.0,218923.0,230615.66666666666
Fuerteventura,2020-03-01,marzo,2020,3,99651,1.0,6.123233995736766e-17,1,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,204212.0,239006.0,250148.0,220938.33333333334,226397.66666666666
Fuerteventura,2020-04-01,abril,2020,4,1305,0.8660254037844387,-0.4999999999999998,1,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,204212.0,239006.0,177151.33333333334,205431.5
Fuerteventura,2020-05-01,mayo,2020,5,2993,0.49999999999999994,-0.8660254037844387,1,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,204212.0,110906.0,164914.5
Fuerteventura,2020-06-01,junio,2020,6,15735,1.2246467991473532e-16,-1.0,1,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,227570.0,34649.666666666664,127794.0
Fuerteventura,2020-07-01,julio,2020,7,60163,-0.4999999999999997,-0.8660254037844388,1,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,255590.0,6677.666666666667,91914.5
Fuerteventura,2020-08-01,agosto,2020,8,127168,-0.8660254037844385,-0.5000000000000004,1,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,257070.0,26297.0,68601.5
Fuerteventura,2020-09-01,septiembre,2020,9,61682,-1.0,-1.8369701987210297e-16,1,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,225448.0,67688.66666666667,51169.166666666664
Fuerteventura,2020-10-01,octubre,2020,10,63589,-0.8660254037844386,0.5000000000000001,1,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,244407.0,83004.33333333333,44841.0
Fuerteventura,2020-11-01,noviembre,2020,11,59217,-0.5000000000000004,0.8660254037844384,1,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,225716.0,84146.33333333333,55221.666666666664
Fuerteventura,2020-12-01,diciembre,2020,12,72426,-2.4492935982947064e-16,1.0,1,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,231012.0,61496.0,64592.333333333336
Fuerteventura,2021-01-01,enero,2021,1,37417,0.49999999999999994,0.8660254037844387,2,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,200041.0,65077.333333333336,74040.83333333333
Fuerteventura,2021-02-01,febrero,2021,2,35316,0.8660254037844386,0.5000000000000001,2,37417.0,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,231762.0,56353.333333333336,70249.83333333333
Fuerteventura,2021-03-01,marzo,2021,3,52455,1.0,6.123233995736766e-17,2,35316.0,37417.0,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,99651.0,48386.333333333336,54941.166666666664
Fuerteventura,2021-04-01,abril,2021,4,50298,0.8660254037844387,-0.4999999999999998,2,52455.0,35316.0,37417.0,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,1305.0,41729.333333333336,53403.333333333336
Fuerteventura,2021-05-01,mayo,2021,5,78773,0.49999999999999994,-0.8660254037844387,2,50298.0,52455.0,35316.0,37417.0,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,2993.0,46023.0,51188.166666666664
Fuerteventura,2021-06-01,junio,2021,6,102153,1.2246467991473532e-16,-1.0,2,78773.0,50298.0,52455.0,35316.0,37417.0,72426.0,59217.0,63589.0,61682.0,127168.0,60163.0,15735.0,60508.666666666664,54447.5
